n,k,alpha,metric,rule,win_share,mean_regret
5,3,1.0,mean_linear,Discrete metric,0.4236,0.0184186970866213
5,3,1.0,mean_linear,Quadratic distance,0.3388,0.01748536375328788
5,3,1.0,mean_linear,Manhattan distance,0.2376,0.013367243067542833
5,3,1.0,mean_skewed,Discrete metric,0.5664,0.014446015570932419
5,3,1.0,mean_skewed,Quadratic distance,0.3398,0.03730220604712366
5,3,1.0,mean_skewed,Manhattan distance,0.0938,0.024363570334824718
5,3,3.0,coord_avg,Discrete metric,0.8178,0.0009661787049687042
5,3,3.0,coord_avg,Quadratic distance,0.1188,0.05332363902243056
5,3,3.0,coord_avg,Manhattan distance,0.0634,0.03067603117139611
5,3,3.0,coord_max,Discrete metric,0.7626,0.0031235504339967497
5,3,3.0,coord_max,Quadratic distance,0.1188,0.03371974091018878
5,3,3.0,coord_max,Manhattan distance,0.1186,0.019031912058449993
5,3,3.0,mean_linear,Discrete metric,0.7892,0.003988423920760758
5,3,3.0,mean_linear,Quadratic distance,0.0782,0.02621318582552218
5,3,3.0,mean_linear,Manhattan distance,0.1326,0.016124965859973823
5,3,3.0,mean_skewed,Discrete metric,0.8624,0.0027789054491827257
5,3,3.0,mean_skewed,Quadratic distance,0.08,0.05526461973489866
5,3,3.0,mean_skewed,Manhattan distance,0.0576,0.03254939872952787
5,3,10.0,coord_avg,Discrete metric,0.994,2.3604221353129466e-05
5,3,10.0,coord_avg,Quadratic distance,0.0028,0.060154397872145535
5,3,10.0,coord_avg,Manhattan distance,0.0032,0.03718575752462286
5,3,10.0,coord_max,Discrete metric,0.9916,4.9359976857562904e-05
5,3,10.0,coord_max,Quadratic distance,0.0028,0.04672269331019465
5,3,10.0,coord_max,Manhattan distance,0.0056,0.029686128408154207
5,3,10.0,mean_linear,Discrete metric,0.989,0.00011256787018050207
5,3,10.0,mean_linear,Quadratic distance,0.0016,0.0313492345368461
5,3,10.0,mean_linear,Manhattan distance,0.0094,0.019985919517122
5,3,10.0,mean_skewed,Discrete metric,0.9956,6.906575925346388e-05
5,3,10.0,mean_skewed,Quadratic distance,0.0022,0.05982430385449302
5,3,10.0,mean_skewed,Manhattan distance,0.0022,0.036972794126385676
5,5,0.1,coord_avg,Discrete metric,0.0828,0.06866814124748087
5,5,0.1,coord_avg,Quadratic distance,0.843,0.003899519025259611
5,5,0.1,coord_avg,Manhattan distance,0.0742,0.024021452497691054
5,5,0.1,coord_max,Discrete metric,0.0264,0.1896220696113694
5,5,0.1,coord_max,Quadratic distance,0.9082,0.0017909585002474132
5,5,0.1,coord_max,Manhattan distance,0.0654,0.047822040748948566
5,5,0.1,mean_linear,Discrete metric,0.0598,0.08975212866848294
5,5,0.1,mean_linear,Quadratic distance,0.8314,0.0043779620018167134
5,5,0.1,mean_linear,Manhattan distance,0.1088,0.02495949974657938
5,5,0.1,mean_skewed,Discrete metric,0.0922,0.0729320561761614
