n,k,alpha,rule,draws,avg_coord_width_mean,avg_coord_width_median,max_coord_width_mean,max_coord_width_median,mean_linear_width_mean,mean_linear_width_median,mean_skewed_width_mean,mean_skewed_width_median,tie_rate,payment_probability_mean,payment_probability_median
5,2,0.1,Discrete metric,5000,0.16666666666666663,0.16666666666666663,0.16666666666666669,0.16666666666666666,0.1666666666666667,0.16666666666666669,0.1666666666666667,0.16666666666666669,0.0,0.8585809262077255,0.9965420972850754
5,2,0.1,Manhattan distance,5000,0.13785883632715124,0.12944943670387588,0.13785883632715124,0.12944943670387588,0.13785883632715146,0.12944943670387588,0.13785883632715146,0.12944943670387588,0.0,nan,nan
5,2,0.1,Quadratic distance,5000,0.11788000000000001,0.09999999999999999,0.11788000000000001,0.1,0.11787999999999997,0.10000000000000002,0.11787999999999997,0.10000000000000002,0.0,nan,nan
5,2,0.3,Discrete metric,5000,0.16666666666666666,0.16666666666666663,0.16666666666666669,0.16666666666666666,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.6772393308583637,0.6997773726932672
5,2,0.3,Manhattan distance,5000,0.1511164800256913,0.12944943670387588,0.1511164800256913,0.12944943670387588,0.15111648002569186,0.12944943670387588,0.15111648002569186,0.12944943670387588,0.0,nan,nan
5,2,0.3,Quadratic distance,5000,0.14356000000000005,0.09999999999999999,0.14356000000000005,0.1,0.14356,0.10000000000000002,0.14356,0.10000000000000002,0.0,nan,nan
5,2,1.0,Discrete metric,5000,0.16666666666666669,0.16666666666666666,0.16666666666666669,0.16666666666666669,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16666666666666669,0.0,0.46317851233158963,0.3953139966210159
5,2,1.0,Manhattan distance,5000,0.1708879515609309,0.18436073375182116,0.17088795156093095,0.18436073375182116,0.17088795156093206,0.1843607337518216,0.17088795156093206,0.1843607337518216,0.0,nan,nan
5,2,1.0,Quadratic distance,5000,0.18050000000000002,0.2,0.18050000000000008,0.20000000000000007,0.18050000000000002,0.19999999999999996,0.18050000000000002,0.19999999999999996,0.0,nan,nan
5,2,3.0,Discrete metric,5000,0.16666666666666669,0.16666666666666666,0.1666666666666667,0.16666666666666669,0.16666666666666666,0.16666666666666663,0.16666666666666666,0.16666666666666663,0.0,0.3642490930774853,0.34432494579287987
5,2,3.0,Manhattan distance,5000,0.1836951151380005,0.18618982954429986,0.18369511513800052,0.18618982954429997,0.1836951151380023,0.18618982954430252,0.1836951151380023,0.18618982954430252,0.0,nan,nan
5,2,3.0,Quadratic distance,5000,0.19826,0.2,0.19826000000000013,0.20000000000000007,0.19826,0.19999999999999996,0.19826,0.19999999999999996,0.0,nan,nan
5,2,10.0,Discrete metric,5000,0.16666666666666669,0.16666666666666666,0.1666666666666667,0.16666666666666669,0.16666666666666666,0.16666666666666663,0.16666666666666666,0.16666666666666663,0.0,0.33909922335319487,0.33991887686091676
5,2,10.0,Manhattan distance,5000,0.1860420386042676,0.18618982954429986,0.18604203860426768,0.18618982954429997,0.18604203860427004,0.18618982954430252,0.18604203860427004,0.18618982954430252,0.0,nan,nan
5,2,10.0,Quadratic distance,5000,0.2,0.2,0.20000000000000015,0.20000000000000007,0.2,0.19999999999999996,0.2,0.19999999999999996,0.0,nan,nan
5,3,0.1,Discrete metric,5000,0.20634920634920637,0.2063492063492063,0.27659523809523806,0.2857142857142857,0.19428571428571434,0.20238095238095244,0.20524285714285714,0.16666666666666669,0.0,0.7334794986510842,0.872229566506308
