n,k,alpha,metric,rule,win_share
5,5,0.1,coord_avg,Discrete metric,0.0828
5,5,0.1,coord_avg,Quadratic distance,0.843
5,5,0.1,coord_avg,Manhattan distance,0.0742
5,5,0.1,coord_max,Discrete metric,0.0264
5,5,0.1,coord_max,Quadratic distance,0.9082
5,5,0.1,coord_max,Manhattan distance,0.0654
5,5,0.1,mean_linear,Discrete metric,0.0598
5,5,0.1,mean_linear,Quadratic distance,0.8314
5,5,0.1,mean_linear,Manhattan distance,0.1088
5,5,0.1,mean_skewed,Discrete metric,0.0922
5,5,0.1,mean_skewed,Quadratic distance,0.8392
5,5,0.1,mean_skewed,Manhattan distance,0.0686
5,5,0.3,coord_avg,Discrete metric,0.3598
5,5,0.3,coord_avg,Quadratic distance,0.516
5,5,0.3,coord_avg,Manhattan distance,0.1242
5,5,0.3,coord_max,Discrete metric,0.1248
5,5,0.3,coord_max,Quadratic distance,0.7586
5,5,0.3,coord_max,Manhattan distance,0.1166
5,5,0.3,mean_linear,Discrete metric,0.2342
5,5,0.3,mean_linear,Quadratic distance,0.5694
5,5,0.3,mean_linear,Manhattan distance,0.1964
5,5,0.3,mean_skewed,Discrete metric,0.2424
5,5,0.3,mean_skewed,Quadratic distance,0.6374
5,5,0.3,mean_skewed,Manhattan distance,0.1202
5,5,1.0,coord_avg,Discrete metric,0.819
5,5,1.0,coord_avg,Quadratic distance,0.0988
5,5,1.0,coord_avg,Manhattan distance,0.0822
5,5,1.0,coord_max,Discrete metric,0.3968
5,5,1.0,coord_max,Quadratic distance,0.4026
5,5,1.0,coord_max,Manhattan distance,0.2006
5,5,1.0,mean_linear,Discrete metric,0.6014
5,5,1.0,mean_linear,Quadratic distance,0.21
5,5,1.0,mean_linear,Manhattan distance,0.1886
5,5,1.0,mean_skewed,Discrete metric,0.4832
5,5,1.0,mean_skewed,Quadratic distance,0.3618
5,5,1.0,mean_skewed,Manhattan distance,0.155
5,5,3.0,coord_avg,Discrete metric,0.9936
5,5,3.0,coord_avg,Quadratic distance,0.0014
5,5,3.0,coord_avg,Manhattan distance,0.005
5,5,3.0,coord_max,Discrete metric,0.7806
5,5,3.0,coord_max,Quadratic distance,0.0466
5,5,3.0,coord_max,Manhattan distance,0.1728
5,5,3.0,mean_linear,Discrete metric,0.9148
5,5,3.0,mean_linear,Quadratic distance,0.0296
5,5,3.0,mean_linear,Manhattan distance,0.0556
5,5,3.0,mean_skewed,Discrete metric,0.731
5,5,3.0,mean_skewed,Quadratic distance,0.1566
5,5,3.0,mean_skewed,Manhattan distance,0.1124
5,5,10.0,coord_avg,Discrete metric,1.0
5,5,10.0,coord_avg,Quadratic distance,0.0
5,5,10.0,coord_avg,Manhattan distance,0.0
5,5,10.0,coord_max,Discrete metric,0.9922
5,5,10.0,coord_max,Quadratic distance,0.0
5,5,10.0,coord_max,Manhattan distance,0.0078
5,5,10.0,mean_linear,Discrete metric,0.9966
5,5,10.0,mean_linear,Quadratic distance,0.0004
5,5,10.0,mean_linear,Manhattan distance,0.003
5,5,10.0,mean_skewed,Discrete metric,0.9348
5,5,10.0,mean_skewed,Quadratic distance,0.0322
5,5,10.0,mean_skewed,Manhattan distance,0.033
5,10,0.1,coord_avg,Discrete metric,0.0524
5,10,0.1,coord_avg,Quadratic distance,0.793
5,10,0.1,coord_avg,Manhattan distance,0.1546
5,10,0.1,coord_max,Discrete metric,0.0006
5,10,0.1,coord_max,Quadratic distance,0.9974
5,10,0.1,coord_max,Manhattan distance,0.002
5,10,0.1,mean_linear,Discrete metric,0.0629
5,10,0.1,mean_linear,Quadratic distance,0.7683
5,10,0.1,mean_linear,Manhattan distance,0.1688
5,10,0.1,mean_skewed,Discrete metric,0.0852
5,10,0.1,mean_skewed,Quadratic distance,0.7812
5,10,0.1,mean_skewed,Manhattan distance,0.1336
5,10,0.3,coord_avg,Discrete metric,0.3208
5,10,0.3,coord_avg,Quadratic distance,0.4552
5,10,0.3,coord_avg,Manhattan distance,0.224
5,10,0.3,coord_max,Discrete metric,0.0134
5,10,0.3,coord_max,Quadratic distance,0.9548
5,10,0.3,coord_max,Manhattan distance,0.0318
5,10,0.3,mean_linear,Discrete metric,0.2726
5,10,0.3,mean_linear,Quadratic distance,0.4778
5,10,0.3,mean_linear,Manhattan distance,0.2496
5,10,0.3,mean_skewed,Discrete metric,0.1766
5,10,0.3,mean_skewed,Quadratic distance,0.6034
5,10,0.3,mean_skewed,Manhattan distance,0.22
5,10,1.0,coord_avg,Discrete metric,0.8552
5,10,1.0,coord_avg,Quadratic distance,0.0492
5,10,1.0,coord_avg,Manhattan distance,0.0956
5,10,1.0,coord_max,Discrete metric,0.124
5,10,1.0,coord_max,Quadratic distance,0.6458
5,10,1.0,coord_max,Manhattan distance,0.2302
5,10,1.0,mean_linear,Discrete metric,0.7255
5,10,1.0,mean_linear,Quadratic distance,0.1221
5,10,1.0,mean_linear,Manhattan distance,0.1524
5,10,1.0,mean_skewed,Discrete metric,0.3108
5,10,1.0,mean_skewed,Quadratic distance,0.3112
5,10,1.0,mean_skewed,Manhattan distance,0.378
5,10,3.0,coord_avg,Discrete metric,0.9974
5,10,3.0,coord_avg,Quadratic distance,0.0004
5,10,3.0,coord_avg,Manhattan distance,0.0022
5,10,3.0,coord_max,Discrete metric,0.4912
5,10,3.0,coord_max,Quadratic distance,0.1314
5,10,3.0,coord_max,Manhattan distance,0.3774
5,10,3.0,mean_linear,Discrete metric,0.9605
5,10,3.0,mean_linear,Quadratic distance,0.0095
5,10,3.0,mean_linear,Manhattan distance,0.03
5,10,3.0,mean_skewed,Discrete metric,0.4298
5,10,3.0,mean_skewed,Quadratic distance,0.037
5,10,3.0,mean_skewed,Manhattan distance,0.5332
5,10,10.0,coord_avg,Discrete metric,1.0
5,10,10.0,coord_avg,Quadratic distance,0.0
5,10,10.0,coord_avg,Manhattan distance,0.0
5,10,10.0,coord_max,Discrete metric,0.937
5,10,10.0,coord_max,Quadratic distance,0.0012
5,10,10.0,coord_max,Manhattan distance,0.0618
5,10,10.0,mean_linear,Discrete metric,0.9992
5,10,10.0,mean_linear,Quadratic distance,0.0002
5,10,10.0,mean_linear,Manhattan distance,0.0006
5,10,10.0,mean_skewed,Discrete metric,0.4908
5,10,10.0,mean_skewed,Quadratic distance,0.0002
5,10,10.0,mean_skewed,Manhattan distance,0.509
10,2,0.1,coord_avg,Discrete metric,0.218
10,2,0.1,coord_avg,Quadratic distance,0.76
10,2,0.1,coord_avg,Manhattan distance,0.022
10,2,0.1,coord_max,Discrete metric,0.218
10,2,0.1,coord_max,Quadratic distance,0.76
10,2,0.1,coord_max,Manhattan distance,0.022
10,2,0.1,mean_linear,Discrete metric,0.218
10,2,0.1,mean_linear,Quadratic distance,0.76
10,2,0.1,mean_linear,Manhattan distance,0.022
10,2,0.1,mean_skewed,Discrete metric,0.218
10,2,0.1,mean_skewed,Quadratic distance,0.76
10,2,0.1,mean_skewed,Manhattan distance,0.022
10,2,0.3,coord_avg,Discrete metric,0.5112
10,2,0.3,coord_avg,Quadratic distance,0.4454
10,2,0.3,coord_avg,Manhattan distance,0.0434
10,2,0.3,coord_max,Discrete metric,0.5112
10,2,0.3,coord_max,Quadratic distance,0.4454
10,2,0.3,coord_max,Manhattan distance,0.0434
10,2,0.3,mean_linear,Discrete metric,0.5112
10,2,0.3,mean_linear,Quadratic distance,0.4454
10,2,0.3,mean_linear,Manhattan distance,0.0434
10,2,0.3,mean_skewed,Discrete metric,0.5112
10,2,0.3,mean_skewed,Quadratic distance,0.4454
10,2,0.3,mean_skewed,Manhattan distance,0.0434
10,2,1.0,coord_avg,Discrete metric,0.8654
10,2,1.0,coord_avg,Quadratic distance,0.1006
10,2,1.0,coord_avg,Manhattan distance,0.034
10,2,1.0,coord_max,Discrete metric,0.8654
10,2,1.0,coord_max,Quadratic distance,0.1006
10,2,1.0,coord_max,Manhattan distance,0.034
10,2,1.0,mean_linear,Discrete metric,0.8654
10,2,1.0,mean_linear,Quadratic distance,0.1006
10,2,1.0,mean_linear,Manhattan distance,0.034
10,2,1.0,mean_skewed,Discrete metric,0.8654
10,2,1.0,mean_skewed,Quadratic distance,0.1006
10,2,1.0,mean_skewed,Manhattan distance,0.034
10,2,3.0,coord_avg,Discrete metric,0.9952
10,2,3.0,coord_avg,Quadratic distance,0.0022
10,2,3.0,coord_avg,Manhattan distance,0.0026
10,2,3.0,coord_max,Discrete metric,0.9952
10,2,3.0,coord_max,Quadratic distance,0.0022
10,2,3.0,coord_max,Manhattan distance,0.0026
10,2,3.0,mean_linear,Discrete metric,0.9952
10,2,3.0,mean_linear,Quadratic distance,0.0022
10,2,3.0,mean_linear,Manhattan distance,0.0026
10,2,3.0,mean_skewed,Discrete metric,0.9952
10,2,3.0,mean_skewed,Quadratic distance,0.0022
10,2,3.0,mean_skewed,Manhattan distance,0.0026
10,2,10.0,coord_avg,Discrete metric,1.0
10,2,10.0,coord_avg,Quadratic distance,0.0
